country,model,bin,mean_predicted_probability,observed_probability,n
Gabon_DHS_2019_2021,XGBoost,5,0.7083864212036133,0.7204301075268817,93
Gabon_DHS_2019_2021,XGBoost,6,0.7367366552352905,0.7204301075268817,93
Gabon_DHS_2019_2021,XGBoost,7,0.7671687602996826,0.7956989247311828,93
Gabon_DHS_2019_2021,XGBoost,8,0.7959690690040588,0.6774193548387096,93
Gabon_DHS_2019_2021,XGBoost,9,0.8272914290428162,0.7849462365591398,93
Gabon_DHS_2019_2021,XGBoost,10,0.8757483959197998,0.8617021276595744,94
Gabon_DHS_2019_2021,TabPFN,1,0.46424755454063416,0.574468085106383,94
Gabon_DHS_2019_2021,TabPFN,2,0.5781705379486084,0.5268817204301075,93
Gabon_DHS_2019_2021,TabPFN,3,0.6361379027366638,0.5425531914893617,94
Gabon_DHS_2019_2021,TabPFN,4,0.682092547416687,0.717391304347826,92
Gabon_DHS_2019_2021,TabPFN,5,0.7143047451972961,0.6774193548387096,93
Gabon_DHS_2019_2021,TabPFN,6,0.7430146932601929,0.7311827956989247,93
Gabon_DHS_2019_2021,TabPFN,7,0.7784964442253113,0.7419354838709677,93
Gabon_DHS_2019_2021,TabPFN,8,0.8112511038780212,0.7311827956989247,93
Gabon_DHS_2019_2021,TabPFN,9,0.8455659747123718,0.8494623655913979,93
Gabon_DHS_2019_2021,TabPFN,10,0.8844460844993591,0.8191489361702128,94
Malawi_DHS_2024,LogReg,1,0.36040500794519315,0.24390243902439024,82
Malawi_DHS_2024,LogReg,2,0.395556134461477,0.24390243902439024,82
Malawi_DHS_2024,LogReg,3,0.4223550955645492,0.43209876543209874,81
Malawi_DHS_2024,LogReg,4,0.44686624767729666,0.47560975609756095,82
Malawi_DHS_2024,LogReg,5,0.4725229059654427,0.4878048780487805,82
Malawi_DHS_2024,LogReg,6,0.49677053825049095,0.5555555555555556,81
Malawi_DHS_2024,LogReg,7,0.5197335800550705,0.4878048780487805,82
Malawi_DHS_2024,LogReg,8,0.5429639473473051,0.5802469135802469,81
Malawi_DHS_2024,LogReg,9,0.5708431399950391,0.6219512195121951,82
Malawi_DHS_2024,LogReg,10,0.6082476907524709,0.7073170731707317,82
Malawi_DHS_2024,LightGBM,1,0.1832390166077425,0.23170731707317074,82
Malawi_DHS_2024,LightGBM,2,0.2674547982727824,0.3170731707317073,82
Malawi_DHS_2024,LightGBM,3,0.32599751143894357,0.35802469135802467,81
Malawi_DHS_2024,LightGBM,4,0.380268060501913,0.4878048780487805,82
Malawi_DHS_2024,LightGBM,5,0.4430001715638377,0.34146341463414637,82
Malawi_DHS_2024,LightGBM,6,0.5062775404023662,0.49382716049382713,81
Malawi_DHS_2024,LightGBM,7,0.5791867507554149,0.6097560975609756,82
Malawi_DHS_2024,LightGBM,8,0.6557558958265557,0.6296296296296297,81
Malawi_DHS_2024,LightGBM,9,0.7378464138009936,0.6463414634146342,82
Malawi_DHS_2024,LightGBM,10,0.8457605332023878,0.7195121951219512,82
Malawi_DHS_2024,XGBoost,1,0.24422501027584076,0.25609756097560976,82
Malawi_DHS_2024,XGBoost,2,0.31177350878715515,0.2804878048780488,82
Malawi_DHS_2024,XGBoost,3,0.35340815782546997,0.37037037037037035,81
Malawi_DHS_2024,XGBoost,4,0.39481320977211,0.3902439024390244,82
Malawi_DHS_2024,XGBoost,5,0.44498535990715027,0.4878048780487805,82
Malawi_DHS_2024,XGBoost,6,0.5009427666664124,0.4444444444444444,81
Malawi_DHS_2024,XGBoost,7,0.5592947602272034,0.5487804878048781,82
