model,country,feature,importance
XGBoost,Sierra_Leone_DHS_2019,v025,0.04113695025444031
XGBoost,Sierra_Leone_DHS_2019,v201,0.013172329403460026
XGBoost,Sierra_Leone_DHS_2019,m13,0.027802733704447746
XGBoost,Sierra_Leone_DHS_2019,v463z,0.0
XGBoost,Sierra_Leone_DHS_2019,v151,0.010124623775482178
TabPFN,Sierra_Leone_DHS_2019,hw1,0.0023002838677341096
TabPFN,Sierra_Leone_DHS_2019,b4,-0.0012393760034400847
TabPFN,Sierra_Leone_DHS_2019,h31,-0.0001294089413680144
TabPFN,Sierra_Leone_DHS_2019,hw70,-0.004628341860560048
TabPFN,Sierra_Leone_DHS_2019,v012,0.0008384348646832019
TabPFN,Sierra_Leone_DHS_2019,v212,-0.0012673529453569809
TabPFN,Sierra_Leone_DHS_2019,hw72,-0.0001943237772139117
TabPFN,Sierra_Leone_DHS_2019,v190,-0.0009338210444779449
TabPFN,Sierra_Leone_DHS_2019,v040,0.0006162811049944761
TabPFN,Sierra_Leone_DHS_2019,h22,0.0004916234668900455
TabPFN,Sierra_Leone_DHS_2019,h11,-0.00041277696461727853
TabPFN,Sierra_Leone_DHS_2019,h43,-0.0020475378064049197
TabPFN,Sierra_Leone_DHS_2019,h34,2.4260957690636075e-05
TabPFN,Sierra_Leone_DHS_2019,v191,-0.004675772763625541
TabPFN,Sierra_Leone_DHS_2019,v113,-0.0017800124407720164
TabPFN,Sierra_Leone_DHS_2019,v116,-0.002362442865290282
TabPFN,Sierra_Leone_DHS_2019,v106,-0.0003319254088649748
TabPFN,Sierra_Leone_DHS_2019,v025,2.2121616631887164e-05
TabPFN,Sierra_Leone_DHS_2019,v201,0.0019962410276828544
TabPFN,Sierra_Leone_DHS_2019,m13,-0.0011101362376950475
TabPFN,Sierra_Leone_DHS_2019,v463z,-0.0008259134910504118
TabPFN,Sierra_Leone_DHS_2019,v151,-0.0012899082051841758
LogReg,Haiti_DHS_2016-2017,hw1,0.3921285226738515
